defending_team,Matches,Corners_Faced,Total_Danger,Avg_Danger,DHSS
Deportivo Alavés,2,19,37,1.9473684210526316,51.315789473684205
Real Valladolid,2,9,18,2.0,50.0
Huesca,2,13,27,2.076923076923077,48.07692307692307
Athletic Club,2,11,23,2.090909090909091,47.72727272727273
Elche,1,6,13,2.1666666666666665,45.833333333333336
Osasuna,2,9,21,2.3333333333333335,41.666666666666664
Real Sociedad,2,3,7,2.3333333333333335,41.666666666666664
Granada,2,7,17,2.4285714285714284,39.28571428571429
Cádiz,2,21,52,2.4761904761904763,38.095238095238095
Real Betis,2,14,36,2.5714285714285716,35.71428571428571
Sevilla,2,9,24,2.6666666666666665,33.333333333333336
Levante UD,2,18,48,2.6666666666666665,33.333333333333336
Barcelona,34,127,341,2.6850393700787403,32.874015748031496
Valencia,2,9,26,2.888888888888889,27.77777777777778
Getafe,2,5,15,3.0,25.0
Villarreal,2,9,27,3.0,25.0
Celta Vigo,2,14,42,3.0,25.0
Atlético Madrid,2,13,42,3.230769230769231,19.23076923076923
Real Madrid,2,13,42,3.230769230769231,19.23076923076923
